#LAMMPS data file via write_data, version 2 Apr 2025, timestep = 50000, units = metal

720 atoms
4 atom types
1 bond types
1 angle types

2 extra bond per atom
1 extra angle per atom
2 extra special per atom

-22.470320800269317 22.470320800269317 xlo xhi
-8.579178758211475 8.579178758211475 ylo yhi
-8.491043517346204 8.491043517346204 zlo zhi

Atom Type Labels

1 Si
2 O
3 OW
4 HW

Bond Type Labels

1 OW-HW

Angle Type Labels

1 HW-OW-HW

Masses

1 28.0855
2 15.9994
3 15.9994
4 1.008

Atoms # full

449 0 2 0 18.71625267886474 -3.554411610881962 -3.5649479075274115 -1 0 1
167 0 1 0 17.541122905195216 -7.015514312467647 -3.9382312730134226 0 0 0
457 0 2 0 17.165684437806625 -5.640137614147864 -3.208738459290349 0 2 0
522 0 2 0 20.46572943650142 -5.048724819154874 -8.2401927259599 0 0 1
563 0 2 0 19.016414858528044 -7.4735364945569565 -3.337673669305879 -1 1 0
235 0 1 0 17.41915837308275 -7.937959758433444 -6.703963240096494 0 1 1
426 0 2 0 17.3639496223256 -3.039628238829006 -5.989350842509562 -1 -1 0
175 0 1 0 17.053434021728016 -3.1315012177215795 -7.597788200950345 0 -1 0
531 0 2 0 16.407998767837803 -8.207838947336878 -3.688072450301499 0 0 0
279 0 2 0 18.539384670810584 -3.1586218371448105 -8.451839317298194 -1 1 0
256 0 2 0 -20.038883818215314 -2.9731885235696787 -7.649906740064312 0 -1 1
441 0 2 0 -19.59409610839328 -2.5833659112900644 -5.116567880575739 1 1 0
187 0 1 0 -19.61514597105761 1.5784386274279143 -4.455798001831928 1 1 0
229 0 1 0 -18.878509734281128 0.8987081796000815 -7.126160439988943 1 0 0
284 0 2 0 -18.742190759305807 -0.49922876637853975 -6.421929490498794 0 -2 0
247 0 2 0 -20.030580724971216 0.020839371129870443 -4.4714485758138665 1 1 1
124 0 1 0 -19.061977093749686 -1.100146769705166 -4.961199889106042 0 0 0
645 0 2 0 -17.701276158692497 -0.7548846678208578 -4.185584068226803 0 0 1
683 0 2 0 -18.747398838874865 1.9514541843275683 -5.842683119589928 1 0 0
580 0 2 0 -20.27524325396461 1.257384423222577 -7.808101790488559 1 1 1
89 0 1 0 -16.124072061854466 -1.0165822266606206 -3.9812855413124337 0 0 1
342 0 2 0 -20.914519704599012 2.390462099679464 -4.642673257122994 0 1 1
259 0 2 0 -15.8302808231003 -2.2802103128800164 -4.900964482899349 0 0 1
366 0 2 0 -18.88194989057212 1.900048004402894 -3.1210192244521204 1 -1 -1
549 0 2 0 -17.604705754246364 0.9744046601179033 -8.083238355246856 0 0 0
497 0 2 0 -15.14415040351826 0.20803582975747936 -4.245217080458016 1 0 1
286 0 2 0 -14.418696986846097 -0.25840481658820735 -6.677498088743249 1 0 1
8 0 1 0 -14.036055620605904 0.6546533272166037 -5.361719290230145 0 -1 0
331 0 2 0 -14.286929081869019 2.260942772905281 -5.395857145140703 0 0 0
136 0 1 0 -14.66308045058148 -1.2872168417528167 -7.9113048296327015 0 0 1
378 0 2 0 -12.485129233150584 0.22176131284810374 -5.03873000067729 1 0 1
617 0 2 0 -11.042519170040677 -2.123626025545133 -7.876289113535485 0 0 0
128 0 1 0 -11.169946063505021 -0.624570534499707 -5.365499002164795 0 0 1
520 0 2 0 -10.93303778245403 -1.9380660986456837 -4.5444344818832185 0 0 0
615 0 2 0 -10.138156182517957 -0.3250898213424147 -6.537084647323005 0 1 1
119 0 1 0 -9.818741818351072 -2.687162269926132 -3.611986990673768 0 -1 1
148 0 1 0 -9.672822339588443 -1.2785884163311279 -7.706590925265003 0 -1 1
671 0 2 0 -4.085760385608161 -2.1221807410043603 -3.4920001908283407 0 0 -1
448 0 2 0 -8.640758649151609 -2.3660150748661675 -7.157373053021311 0 -1 1
